"","X","ID","time","PM10","LAT","LON","day"
"671",671,111121,2012032823,127,37.5646362304688,126.975975036621,"20120328"
"2879",2879,111123,2012032823,121,37.5720252990723,127.005027770996,"20120328"
"5087",5087,111131,2012032823,127,37.5403137207031,127.005081176758,"20120328"
"7295",7295,111141,2012032823,143,37.5446395874023,127.095710754395,"20120328"
"9503",9503,111142,2012032823,140,37.5431060791016,127.041130065918,"20120328"
"11711",11711,111151,2012032823,128,37.5849533081055,127.094284057617,"20120328"
"13919",13919,111152,2012032823,125,37.5761680603027,127.029647827148,"20120328"
"16127",16127,111161,2012032823,90,37.6066665649414,127.027267456055,"20120328"
"18335",18335,111171,2012032823,87,37.6542778015137,127.029190063477,"20120328"
"20543",20543,111181,2012032823,104,37.6105804443359,126.933143615723,"20120328"
"22751",22751,111191,2012032823,127,37.5765762329102,126.937797546387,"20120328"
"27167",27167,111212,2012032823,183,37.5446548461914,126.835098266602,"20120328"
"29375",29375,111221,2012032823,194,37.4801788330078,126.892601013184,"20120328"
"31583",31583,111231,2012032823,214,37.5250015258789,126.897399902344,"20120328"
"33791",33791,111241,2012032823,138,37.4809875488281,126.971549987793,"20120328"
"35999",35999,111251,2012032823,198,37.4882431030273,126.927085876465,"20120328"
"38207",38207,111261,2012032823,152,37.4969787597656,127.056564331055,"20120328"
"40415",40415,111262,2012032823,181,37.5045471191406,126.99446105957,"20120328"
"42623",42623,111273,2012032823,163,37.521598815918,127.124267578125,"20120328"
"44831",44831,111274,2012032823,163,37.5450897216797,127.13680267334,"20120328"
"47039",47039,111281,2012032823,167,37.4523887634277,126.908332824707,"20120328"
"49247",49247,111291,2012032823,91,37.6379051208496,127.029121398926,"20120328"
"51455",51455,111301,2012032823,185,37.5232849121094,126.858688354492,"20120328"
"53663",53663,111311,2012032823,69,37.6588516235352,127.068450927734,"20120328"
"55871",58079,131112,2012032823,213,37.2634162902832,127.029167175293,"20120328"
"58079",60287,131113,2012032823,173,37.2854995727539,127.029502868652,"20120328"
"60287",62495,131114,2012032823,192,37.2469825744629,127.056434631348,"20120328"
"62495",64703,131115,2012032823,218,37.2953987121582,126.977447509766,"20120328"
"64703",66911,131117,2012032823,200,37.2525672912598,126.976600646973,"20120328"
"66911",69119,131121,2012032823,192,37.4494438171387,127.155364990234,"20120328"
"69119",73535,131124,2012032823,167,37.3825531005859,127.11808013916,"20120328"
"71327",75743,131126,2012032823,196,37.4571952819824,127.131172180176,"20120328"
"73535",77951,131128,2012032823,158,37.3905410766602,127.080696105957,"20120328"
"75743",80159,131129,2012032823,147,37.432861328125,127.164505004883,"20120328"
"77951",86783,131141,2012032823,153,37.3900680541992,126.930564880371,"20120328"
"80159",88991,131142,2012032823,201,37.394100189209,126.958000183105,"20120328"
"82367",91199,131144,2012032823,187,37.3812980651855,126.952545166016,"20120328"
"84575",93407,131145,2012032823,158,37.405101776123,126.917633056641,"20120328"
"86783",95615,131161,2012032823,210,37.4762496948242,126.869789123535,"20120328"
"88991",97823,131163,2012032823,212,37.4720993041992,126.871604919434,"20120328"
"91199",100031,131191,2012032823,212,37.3220481872559,126.83039855957,"20120328"
"93407",102239,131192,2012032823,170,37.305347442627,126.788467407227,"20120328"
"95615",104447,131193,2012032823,179,37.2962837219238,126.888816833496,"20120328"
"97823",106655,131194,2012032823,262,37.3315505981445,126.801887512207,"20120328"
"100031",108863,131195,2012032823,227,37.3319473266602,126.861129760742,"20120328"
"102239",113279,131197,2012032823,153,37.3050842285156,126.833229064941,"20120328"
"104447",115487,131201,2012032823,194,37.4239196777344,126.994247436523,"20120328"
"106655",117695,131202,2012032823,179,37.4490852355957,127.003532409668,"20120328"
"108863",119903,131211,2012032823,97,37.5953598022461,127.13646697998,"20120328"
"111071",122111,131212,2012032823,103,37.6185531616211,127.138107299805,"20120328"
"113279",124319,131222,2012032823,233,37.3194007873535,126.950347900391,"20120328"
"115487",126527,131223,2012032823,166,37.3477821350098,126.975997924805,"20120328"
"117695",128735,131231,2012032823,211,37.346263885498,126.740127563477,"20120328"
"119903",130943,131232,2012032823,194,37.3366661071777,126.724815368652,"20120328"
"122111",133151,131233,2012032823,209,37.4430999755859,126.788414001465,"20120328"
"124319",144191,131381,2012032823,174,37.6249694824219,126.842422485352,"20120328"
"126527",146399,131382,2012032823,170,37.6707229614258,126.777671813965,"20120328"
"128735",153023,131412,2012032823,203,37.3279495239258,127.094970703125,"20120328"
"130943",155231,131413,2012032823,244,37.2804832458496,127.11506652832,"20120328"
"133151",161855,131471,2012032823,155,37.6192741394043,126.716636657715,"20120328"
"135359",164063,131472,2012032823,216,37.6074714660645,126.763191223145,"20120328"
"137567",168479,131501,2012032823,245,37.3536834716797,126.945198059082,"20120328"
"139775",170687,131502,2012032823,250,37.3445320129395,126.936019897461,"20120328"
"141983",177311,131551,2012032823,156,37.2119178771973,126.823524475098,"20120328"
"144191",507047,823611,2012032823,203,37.468334197998,126.634994506836,"20120328"
"146399",509255,823621,2012032823,194,37.4738883972168,126.643608093262,"20120328"
"148607",511463,823631,2012032823,188,37.4497222900391,126.724166870117,"20120328"
"150815",513671,823632,2012032823,173,37.4638900756836,126.650001525879,"20120328"
"153023",515879,823641,2012032823,158,37.5,126.724166870117,"20120328"
"155231",518087,823651,2012032823,232,37.5455551147461,126.675827026367,"20120328"
"157439",520295,823652,2012032823,182,37.602222442627,126.661392211914,"20120328"
"160391",523247,823662,2012032823,112,37.5461120605469,126.730278015137,"20120328"
"162599",525455,823671,2012032823,152,37.4047241210938,126.69694519043,"20120328"
"164807",527663,823681,2012032823,166,37.5027770996094,126.67472076416,"20120328"
"167015",532079,823701,2012032823,144,37.4094467163086,126.678611755371,"20120328"
"169223",536495,823704,2012032823,169,37.404167175293,126.726112365723,"20120328"
"171431",538703,823801,2012032823,149,37.5941276550293,126.698608398438,"20120328"
"173639",540911,831151,2012032823,192,37.4901161193848,126.785766601562,"20120328"
"175847",543119,831152,2012032823,186,37.5198669433594,126.773719787598,"20120328"
"178055",545327,831153,2012032823,201,37.4919509887695,126.753303527832,"20120328"
"180263",547535,831154,2012032823,221,37.5266151428223,126.80640411377,"20120328"
