"cityName","dataTime","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value","lon","lat"
"강남구","2017-09-25 10:00","0.005","0.6","0.012","0.035","45","34",127.0473248,37.5172363
"강남구","2017-09-24 13:00","0.005","0.5","0.036","0.021","53","36",127.0473248,37.5172363
"강남구","2017-09-24 20:00","0.005","0.5","0.049","0.018","71","55",127.0473248,37.5172363
"강남구","2017-09-24 21:00","0.005","0.5","0.049","0.014","78","62",127.0473248,37.5172363
"강남구","2017-09-25 05:00","0.004","0.4","0.014","0.022","40","27",127.0473248,37.5172363
"강남구","2017-09-24 22:00","0.005","0.4","0.042","0.014","35","24",127.0473248,37.5172363
"강남구","2017-09-24 15:00","0.006","0.5","0.060","0.018","53","38",127.0473248,37.5172363
"강남구","2017-09-24 16:00","0.005","0.5","0.069","0.012","52","36",127.0473248,37.5172363
"강남구","2017-09-24 24:00","0.004","0.4","0.030","0.021","36","23",127.0473248,37.5172363
"강남구","2017-09-24 17:00","0.006","0.5","0.064","0.015","55","42",127.0473248,37.5172363
"강남구","2017-09-25 08:00","0.005","0.5","0.004","0.036","39","26",127.0473248,37.5172363
"강남구","2017-09-24 11:00","0.005","0.5","0.016","0.026","51","34",127.0473248,37.5172363
"강남구","2017-09-24 19:00","0.004","0.5","0.053","0.020","57","43",127.0473248,37.5172363
"강남구","2017-09-24 12:00","0.005","0.5","0.028","0.023","52","33",127.0473248,37.5172363
"강남구","2017-09-25 03:00","0.004","0.5","0.007","0.034","45","34",127.0473248,37.5172363
"강남구","2017-09-24 14:00","0.005","0.5","0.044","0.022","49","34",127.0473248,37.5172363
"강남구","2017-09-25 09:00","0.005","0.5","0.006","0.033","43","29",127.0473248,37.5172363
"강남구","2017-09-25 07:00","0.004","0.4","0.005","0.032","40","27",127.0473248,37.5172363
"강남구","2017-09-25 06:00","0.005","0.4","0.010","0.023","42","28",127.0473248,37.5172363
"강남구","2017-09-25 04:00","0.004","0.4","0.015","0.022","46","32",127.0473248,37.5172363
"강남구","2017-09-25 02:00","0.004","0.5","0.017","0.030","42","31",127.0473248,37.5172363
"강남구","2017-09-25 01:00","0.004","0.5","0.026","0.024","39","25",127.0473248,37.5172363
"강남구","2017-09-24 23:00","0.005","0.4","0.036","0.016","32","22",127.0473248,37.5172363
"강남구","2017-09-24 18:00","0.004","0.5","0.054","0.019","56","42",127.0473248,37.5172363
"강동구","2017-09-24 13:00","0.004","0.5","0.044","0.017","65","30",127.123762,37.5301251
"강동구","2017-09-24 22:00","0.003","0.5","0.049","0.012","64","36",127.123762,37.5301251
"강동구","2017-09-24 17:00","0.005","0.6","0.070","0.019","82","43",127.123762,37.5301251
"강동구","2017-09-25 05:00","0.004","0.5","0.023","0.015","45","21",127.123762,37.5301251
"강동구","2017-09-24 12:00","0.004","0.5","0.031","0.021","70","28",127.123762,37.5301251
"강동구","2017-09-25 03:00","0.004","0.5","0.015","0.022","50","26",127.123762,37.5301251
"강동구","2017-09-25 04:00","0.004","0.5","0.023","0.014","42","17",127.123762,37.5301251
"강동구","2017-09-24 21:00","0.004","0.6","0.053","0.018","85","52",127.123762,37.5301251
"강동구","2017-09-25 07:00","0.004","0.5","0.003","0.036","43","21",127.123762,37.5301251
"강동구","2017-09-24 14:00","0.004","0.6","0.052","0.017","72","37",127.123762,37.5301251
"강동구","2017-09-24 23:00","0.004","0.5","0.039","0.017","53","30",127.123762,37.5301251
"강동구","2017-09-24 24:00","0.003","0.6","0.027","0.030","51","26",127.123762,37.5301251
"강동구","2017-09-25 02:00","0.004","0.5","0.013","0.034","51","23",127.123762,37.5301251
"강동구","2017-09-25 06:00","0.004","0.5","0.009","0.028","44","21",127.123762,37.5301251
"강동구","2017-09-24 18:00","0.004","0.6","0.063","0.022","77","42",127.123762,37.5301251
"강동구","2017-09-24 19:00","0.004","0.6","0.058","0.022","82","42",127.123762,37.5301251
"강동구","2017-09-24 16:00","0.004","0.6","0.069","0.020","75","39",127.123762,37.5301251
"강동구","2017-09-25 10:00","0.004","0.8","0.013","0.032","55","29",127.123762,37.5301251
"강동구","2017-09-24 20:00","0.004","0.6","0.056","0.019","91","43",127.123762,37.5301251
"강동구","2017-09-24 11:00","0.004","0.5","0.021","0.022","69","30",127.123762,37.5301251
"강동구","2017-09-25 09:00","0.004","0.6","0.009","0.031","49","25",127.123762,37.5301251
"강동구","2017-09-24 15:00","0.004","0.6","0.063","0.018","76","42",127.123762,37.5301251
"강동구","2017-09-25 01:00","0.004","0.6","0.017","0.037","52","25",127.123762,37.5301251
"강동구","2017-09-25 08:00","0.003","0.6","0.005","0.036","47","20",127.123762,37.5301251
"강북구","2017-09-25 10:00","0.003","0.5","0.016","0.036","40","22",127.0256575,37.6396099
"강북구","2017-09-24 24:00","0.002","0.3","0.029","0.015","38","26",127.0256575,37.6396099
"강북구","2017-09-25 05:00","0.002","0.4","0.020","0.010","37","25",127.0256575,37.6396099
"강북구","2017-09-24 19:00","0.002","0.4","0.074","0.007","71","54",127.0256575,37.6396099
"강북구","2017-09-25 04:00","0.002","0.4","0.022","0.010","35","24",127.0256575,37.6396099
"강북구","2017-09-24 21:00","0.002","0.4","0.066","0.004","59","44",127.0256575,37.6396099
"강북구","2017-09-24 14:00","0.003","0.5","0.063","0.022","68","47",127.0256575,37.6396099
"강북구","2017-09-24 12:00","0.003","0.5","0.043","0.022","65","39",127.0256575,37.6396099
"강북구","2017-09-24 13:00","0.003","0.5","0.055","0.023","73","48",127.0256575,37.6396099
"강북구","2017-09-24 16:00","0.003","0.5","0.084","0.011","71","51",127.0256575,37.6396099
"강북구","2017-09-25 06:00","0.002","0.4","0.015","0.011","36","25",127.0256575,37.6396099
"강북구","2017-09-25 09:00","0.003","0.5","0.009","0.032","40","24",127.0256575,37.6396099
"강북구","2017-09-24 22:00","0.002","0.3","0.049","0.010","37","26",127.0256575,37.6396099
"강북구","2017-09-24 20:00","0.002","0.4","0.076","0.004","68","50",127.0256575,37.6396099
"강북구","2017-09-24 11:00","0.003","0.4","0.025","0.022","66","38",127.0256575,37.6396099
"강북구","2017-09-24 23:00","0.002","0.5","0.036","0.015","42","30",127.0256575,37.6396099
"강북구","2017-09-24 17:00","0.003","0.5","0.078","0.012","73","55",127.0256575,37.6396099
"강북구","2017-09-24 15:00","0.004","0.5","0.075","0.016","72","50",127.0256575,37.6396099
"강북구","2017-09-24 18:00","0.003","0.5","0.075","0.010","71","53",127.0256575,37.6396099
"강북구","2017-09-25 02:00","0.002","0.4","0.034","0.007","36","24",127.0256575,37.6396099
"강북구","2017-09-25 03:00","0.002","0.3","0.026","0.010","37","26",127.0256575,37.6396099
"강북구","2017-09-25 01:00","0.002","0.3","0.033","0.009","39","28",127.0256575,37.6396099
"강북구","2017-09-25 07:00","0.002","0.4","0.008","0.017","38","26",127.0256575,37.6396099
"강북구","2017-09-25 08:00","0.002","0.5","0.003","0.026","36","24",127.0256575,37.6396099
"강서구","2017-09-24 21:00","0.005","0.4","0.043","0.012","84","46",126.8495382,37.5509786
"강서구","2017-09-25 03:00","0.005","0.5","0.012","0.035","63","34",126.8495382,37.5509786
"강서구","2017-09-24 14:00","0.006","0.5","0.062","0.016","66","51",126.8495382,37.5509786
"강서구","2017-09-24 22:00","0.005","0.4","0.041","0.014","58","29",126.8495382,37.5509786
"강서구","2017-09-25 06:00","0.005","0.5","0.013","0.029","45","22",126.8495382,37.5509786
"강서구","2017-09-25 05:00","0.005","0.4","0.021","0.020","46","27",126.8495382,37.5509786
"강서구","2017-09-25 07:00","0.006","0.5","0.005","0.044","44","22",126.8495382,37.5509786
"강서구","2017-09-24 20:00","0.004","0.5","0.039","0.022","71","52",126.8495382,37.5509786
"강서구","2017-09-25 04:00","0.006","0.4","0.022","0.017","52","30",126.8495382,37.5509786
"강서구","2017-09-24 19:00","0.004","0.5","0.053","0.017","78","67",126.8495382,37.5509786
"강서구","2017-09-25 02:00","0.004","0.5","0.014","0.039","56","33",126.8495382,37.5509786
"강서구","2017-09-25 10:00","0.006","0.6","0.015","0.046","49","25",126.8495382,37.5509786
"강서구","2017-09-24 23:00","0.006","0.5","0.032","0.026","44","22",126.8495382,37.5509786
"강서구","2017-09-24 15:00","0.005","0.5","0.066","0.012","87","51",126.8495382,37.5509786
"강서구","2017-09-24 16:00","0.006","0.5","0.063","0.011","84","53",126.8495382,37.5509786
"강서구","2017-09-24 24:00","0.006","0.5","0.032","0.024","53","29",126.8495382,37.5509786
"강서구","2017-09-24 13:00","0.006","0.5","0.052","0.017","85","50",126.8495382,37.5509786
"강서구","2017-09-24 18:00","0.005","0.5","0.055","0.016","79","62",126.8495382,37.5509786
"강서구","2017-09-24 11:00","0.006","0.5","0.026","0.030","70","38",126.8495382,37.5509786
"강서구","2017-09-25 09:00","0.004","0.6","0.012","0.044","49","21",126.8495382,37.5509786
"강서구","2017-09-24 12:00","0.006","0.5","0.039","0.024","72","43",126.8495382,37.5509786
"강서구","2017-09-24 17:00","0.005","0.5","0.059","0.013","81","48",126.8495382,37.5509786
"강서구","2017-09-25 08:00","0.005","0.6","0.006","0.047","51","25",126.8495382,37.5509786
"강서구","2017-09-25 01:00","0.004","0.5","0.026","0.026","57","26",126.8495382,37.5509786
"관악구","2017-09-24 21:00","0.005","0.5","0.048","0.015","53","41",126.9516133,37.4784063
"관악구","2017-09-24 13:00","0.005","0.5","0.061","0.013","63","39",126.9516133,37.4784063
"관악구","2017-09-25 03:00","0.004","0.5","0.019","0.023","46","30",126.9516133,37.4784063
"관악구","2017-09-24 14:00","0.005","0.5","0.070","0.010","63","42",126.9516133,37.4784063
"관악구","2017-09-24 20:00","0.005","0.6","0.058","0.014","64","50",126.9516133,37.4784063
"관악구","2017-09-24 19:00","0.005","0.6","0.055","0.020","62","48",126.9516133,37.4784063
"관악구","2017-09-25 02:00","0.005","0.6","0.012","0.039","44","29",126.9516133,37.4784063
"관악구","2017-09-25 10:00","0.005","0.6","0.011","0.039","45","25",126.9516133,37.4784063
"관악구","2017-09-24 11:00","0.005","0.5","0.024","0.024","52","31",126.9516133,37.4784063
"관악구","2017-09-25 04:00","0.004","0.5","0.019","0.021","38","26",126.9516133,37.4784063
"관악구","2017-09-25 05:00","0.005","0.5","0.019","0.020","37","23",126.9516133,37.4784063
"관악구","2017-09-24 22:00","0.004","0.5","0.040","0.018","40","29",126.9516133,37.4784063
"관악구","2017-09-24 15:00","0.006","0.5","0.074","0.010","60","43",126.9516133,37.4784063
"관악구","2017-09-24 18:00","0.005","0.5","0.062","0.016","60","47",126.9516133,37.4784063
"관악구","2017-09-24 12:00","0.005","0.5","0.045","0.017","55","35",126.9516133,37.4784063
"관악구","2017-09-25 09:00","0.005","0.6","0.005","0.041","40","22",126.9516133,37.4784063
"관악구","2017-09-25 07:00","0.005","0.6","0.003","0.037","38","24",126.9516133,37.4784063
"관악구","2017-09-24 17:00","0.005","0.5","0.068","0.011","60","47",126.9516133,37.4784063
"관악구","2017-09-24 23:00","0.005","0.5","0.034","0.022","36","23",126.9516133,37.4784063
"관악구","2017-09-24 16:00","0.006","0.5","0.073","0.010","62","46",126.9516133,37.4784063
"관악구","2017-09-25 06:00","0.005","0.5","0.005","0.033","35","23",126.9516133,37.4784063
"관악구","2017-09-24 24:00","0.005","0.5","0.024","0.029","40","28",126.9516133,37.4784063
"관악구","2017-09-25 08:00","0.005","0.5","0.005","0.039","40","22",126.9516133,37.4784063
"관악구","2017-09-25 01:00","0.005","0.6","0.015","0.038","40","24",126.9516133,37.4784063
"광진구","2017-09-24 22:00","0.002","0.6","0.060","0.016","42","35",127.0822938,37.5384843
"광진구","2017-09-25 10:00","0.003","0.7","0.020","0.036","40","29",127.0822938,37.5384843
"광진구","2017-09-24 14:00","0.003","0.8","0.062","0.027","57","43",127.0822938,37.5384843
"광진구","2017-09-24 20:00","0.003","0.8","0.065","0.022","67","50",127.0822938,37.5384843
"광진구","2017-09-24 13:00","0.003","0.8","0.049","0.028","53","38",127.0822938,37.5384843
"광진구","2017-09-24 15:00","0.003","0.8","0.068","0.028","62","46",127.0822938,37.5384843
"광진구","2017-09-25 02:00","0.003","0.8","0.019","0.044","42","30",127.0822938,37.5384843
"광진구","2017-09-25 03:00","0.003","0.7","0.019","0.036","42","29",127.0822938,37.5384843
"광진구","2017-09-24 19:00","0.003","0.9","0.067","0.026","67","51",127.0822938,37.5384843
"광진구","2017-09-25 09:00","0.003","0.7","0.014","0.044","40","29",127.0822938,37.5384843
"광진구","2017-09-25 05:00","0.003","0.7","0.020","0.030","40","27",127.0822938,37.5384843
"광진구","2017-09-24 11:00","0.003","0.9","0.024","0.037","53","34",127.0822938,37.5384843
"광진구","2017-09-24 18:00","0.003","0.8","0.071","0.027","65","51",127.0822938,37.5384843
"광진구","2017-09-24 21:00","0.002","0.8","0.062","0.022","65","50",127.0822938,37.5384843
"광진구","2017-09-25 07:00","0.003","0.6","0.030","0.023","38","25",127.0822938,37.5384843
"광진구","2017-09-24 24:00","0.002","0.7","0.040","0.031","40","27",127.0822938,37.5384843
"광진구","2017-09-24 17:00","0.004","0.8","0.077","0.024","64","49",127.0822938,37.5384843
"광진구","2017-09-24 12:00","0.003","0.9","0.034","0.033","54","35",127.0822938,37.5384843
"광진구","2017-09-25 01:00","0.003","0.8","0.026","0.043","43","33",127.0822938,37.5384843
"광진구","2017-09-24 16:00","0.004","0.8","0.080","0.022","60","49",127.0822938,37.5384843
"광진구","2017-09-24 23:00","0.002","0.6","0.051","0.016","34","25",127.0822938,37.5384843
"광진구","2017-09-25 04:00","0.003","0.8","0.024","0.028","41","29",127.0822938,37.5384843
"광진구","2017-09-25 08:00","0.004","0.7","0.020","0.038","39","29",127.0822938,37.5384843
"광진구","2017-09-25 06:00","0.003","0.7","0.025","0.025","38","25",127.0822938,37.5384843
"구로구","2017-09-25 05:00","0.005","0.5","0.023","0.013","42","25",126.887369,37.4954031
"구로구","2017-09-24 13:00","0.006","0.6","0.053","0.009","71","43",126.887369,37.4954031
"구로구","2017-09-24 14:00","0.006","0.6","0.063","0.008","79","54",126.887369,37.4954031
"구로구","2017-09-25 04:00","0.005","0.5","0.018","0.017","47","37",126.887369,37.4954031
"구로구","2017-09-25 10:00","0.005","0.6","0.015","0.028","49","32",126.887369,37.4954031
"구로구","2017-09-25 03:00","0.005","0.5","0.024","0.013","50","35",126.887369,37.4954031
"구로구","2017-09-24 11:00","0.005","0.6","0.019","0.022","72","37",126.887369,37.4954031
"구로구","2017-09-24 12:00","0.006","0.6","0.035","0.016","65","39",126.887369,37.4954031
"구로구","2017-09-24 21:00","0.005","0.5","0.043","0.010","59","55",126.887369,37.4954031
"구로구","2017-09-25 02:00","0.005","0.6","0.023","0.017","51","36",126.887369,37.4954031
"구로구","2017-09-24 15:00","0.007","0.6","0.063","0.009","80","54",126.887369,37.4954031
"구로구","2017-09-24 22:00","0.005","0.5","0.038","0.011","53","38",126.887369,37.4954031
"구로구","2017-09-24 19:00","0.005","0.6","0.052","0.014","69","59",126.887369,37.4954031
"구로구","2017-09-24 16:00","0.006","0.6","0.061","0.009","73","55",126.887369,37.4954031
"구로구","2017-09-25 07:00","0.005","0.6","0.004","0.030","42","28",126.887369,37.4954031
"구로구","2017-09-24 17:00","0.005","0.6","0.059","0.010","78","56",126.887369,37.4954031
"구로구","2017-09-24 20:00","0.005","0.6","0.051","0.011","61","58",126.887369,37.4954031
"구로구","2017-09-25 09:00","0.005","0.6","0.010","0.027","49","24",126.887369,37.4954031
"구로구","2017-09-25 06:00","0.005","0.6","0.009","0.027","40","23",126.887369,37.4954031
"구로구","2017-09-24 24:00","0.005","0.5","0.027","0.019","45","32",126.887369,37.4954031
"구로구","2017-09-24 18:00","0.005","0.6","0.057","0.010","66","62",126.887369,37.4954031
"구로구","2017-09-24 23:00","0.005","0.5","0.035","0.012","42","26",126.887369,37.4954031
"구로구","2017-09-25 01:00","0.005","0.5","0.028","0.016","45","32",126.887369,37.4954031
"구로구","2017-09-25 08:00","0.005","0.6","0.006","0.029","45","30",126.887369,37.4954031
"금천구","2017-09-25 03:00","0.002","0.6","0.019","0.024","39","34",126.9020358,37.4518527
"금천구","2017-09-25 10:00","0.004","0.7","0.015","0.048","47","34",126.9020358,37.4518527
"금천구","2017-09-24 13:00","0.004","0.5","0.064","0.019","58","46",126.9020358,37.4518527
"금천구","2017-09-25 02:00","0.003","0.5","0.030","0.019","37","31",126.9020358,37.4518527
"금천구","2017-09-24 15:00","0.004","0.6","0.080","0.015","60","51",126.9020358,37.4518527
"금천구","2017-09-25 04:00","0.003","0.5","0.019","0.022","41","33",126.9020358,37.4518527
"금천구","2017-09-24 12:00","0.003","0.5","0.053","0.020","52","40",126.9020358,37.4518527
"금천구","2017-09-24 21:00","0.003","0.5","0.055","0.019","52","44",126.9020358,37.4518527
"금천구","2017-09-25 07:00","0.003","0.6","0.002","0.042","37","28",126.9020358,37.4518527
"금천구","2017-09-24 14:00","0.004","0.6","0.075","0.017","59","48",126.9020358,37.4518527
"금천구","2017-09-24 20:00","0.003","0.6","0.055","0.027","56","49",126.9020358,37.4518527
"금천구","2017-09-25 01:00","0.003","0.5","0.042","0.017","34","28",126.9020358,37.4518527
"금천구","2017-09-24 19:00","0.003","0.6","0.058","0.028","58","48",126.9020358,37.4518527
"금천구","2017-09-25 05:00","0.003","0.5","0.018","0.022","36","27",126.9020358,37.4518527
"금천구","2017-09-24 22:00","0.003","0.5","0.049","0.017","42","31",126.9020358,37.4518527
"금천구","2017-09-24 23:00","0.003","0.5","0.042","0.017","33","25",126.9020358,37.4518527
"금천구","2017-09-25 06:00","0.003","0.6","0.007","0.034","34","26",126.9020358,37.4518527
"금천구","2017-09-24 24:00","0.003","0.5","0.029","0.023","34","26",126.9020358,37.4518527
"금천구","2017-09-24 11:00","0.003","0.6","0.043","0.022","52","37",126.9020358,37.4518527
"금천구","2017-09-25 08:00","0.003","0.7","0.003","0.043","38","30",126.9020358,37.4518527
"금천구","2017-09-24 18:00","0.004","0.6","0.066","0.023","60","49",126.9020358,37.4518527
"금천구","2017-09-25 09:00","0.004","0.8","0.005","0.050","45","35",126.9020358,37.4518527
"금천구","2017-09-24 16:00","0.005","0.6","0.078","0.016","56","48",126.9020358,37.4518527
"금천구","2017-09-24 17:00","0.005","0.6","0.072","0.021","60","51",126.9020358,37.4518527
"노원구","2017-09-24 14:00","0.002","0.6","0.071","0.026","70","45",127.056793,37.6541917
"노원구","2017-09-24 19:00","0.002","0.6","0.083","0.017","75","54",127.056793,37.6541917
"노원구","2017-09-24 13:00","0.002","0.6","0.066","0.020","67","44",127.056793,37.6541917
"노원구","2017-09-25 01:00","0.002","0.5","0.022","0.033","46","26",127.056793,37.6541917
"노원구","2017-09-25 03:00","0.001","0.5","0.030","0.019","46","27",127.056793,37.6541917
"노원구","2017-09-24 20:00","0.002","0.6","0.076","0.014","71","54",127.056793,37.6541917
"노원구","2017-09-24 12:00","0.002","0.5","0.057","0.015","63","36",127.056793,37.6541917
